,primerid,Pr(>Chisq),coef,FDR
12268,Traj24,0.6463965685254833,,0.7045574773408431
12269,Traj26,0.6181128584753861,,0.6787603026810826
12270,Traj27,0.006947996696728513,,0.01168169448268842
12271,Traj28,0.6021896853543283,,0.6636473783442657
12272,Traj30,0.20262262195047945,,0.2774294086775163
12273,Traj31,0.7595485201611789,-0.002853417338894656,0.8042963031998632
12274,Traj32,0.34799739470876667,0.000798075510986524,0.4331690782326466
12275,Traj33,0.7724089578173515,,0.8146689519230395
12276,Traj34,0.48196209266653545,,0.5525155548508628
12277,Traj35,0.7551667664503525,,0.8006992210706331
12278,Traj37,0.2816998127630001,,0.36618591291358854
12279,Traj39,0.8811088280106548,0.00016556899389309114,0.9056131930966145
12280,Traj4,0.3317246816124094,,0.4176624657721555
12281,Traj40,0.6266819588042726,7.261263840283808e-05,0.6870520314857045
12282,Traj42,0.23959344216247727,,0.320462604758057
12283,Traj43,0.7113664560836055,,0.7626828386586716
12284,Traj44,0.109987053242795,,0.16010964190857424
12285,Traj45,0.4466403573447279,,0.520879431253698
12286,Traj47,0.5145555708578102,,0.5837796191739845
12287,Traj48,0.925671082735927,-6.989038634589741e-05,0.9419587503184851
12288,Traj49,0.812826619310839,,0.8497760783688387
12289,Traj5,0.835175688840826,,0.8682440467105093
12290,Traj50,0.12000449881467001,,0.17317834439511054
12291,Traj52,0.664627344263995,-4.533058947932256e-05,0.7216968459750913
12292,Traj53,0.47870140448828014,,0.5495523930927747
12293,Traj56,0.04997844996356841,-0.0025857857839136976,0.07669614026828495
12294,Traj57,0.28751705618529166,0.0011819487203358781,0.3725216301643327
12295,Traj58,0.5832959560245906,,0.6459672064876125
12296,Traj6,0.32244564498655653,,0.40948582368652925
12297,Traj7,0.42387812384012147,,0.5019141118579764
12298,Traj9,0.49610028037070925,0.0031312087648241787,0.5664214501308396
12299,Trak1,0.00016406219475337654,0.011537843283786094,0.00031321376462447106
12300,Trak2,1.624980459409383e-11,0.021998655269661355,6.242490247347552e-11
12301,Tram1,7.596539966056084e-16,0.046594170234761645,6.180069182508958e-15
12302,Tram2,0.0018263066224660012,0.018079963643611682,0.0032156955586910914
12303,Trap1,5.234834066581725e-08,0.00788156870743345,1.3315398687576852e-07
12304,Trappc1,1.2124461715968868e-09,-0.0433917670681655,3.67832111146009e-09
12305,Trappc10,0.017831867979145502,0.004795773258974598,0.02885752010393972
12306,Trappc11,2.178806516403633e-12,-0.0017766743793837664,9.569578541382592e-12
12307,Trappc12,6.121136750025617e-10,-0.02262030528194106,1.920253113001681e-09
12308,Trappc13,6.564004997078028e-10,0.0011884730758160988,2.052662377140554e-09
12309,Trappc2,1.4750462729018856e-07,-0.005886103543386714,3.601499661552705e-07
12310,Trappc2l,3.5394099482229495e-17,0.007151637628425078,3.7373356993382434e-16
12311,Trappc3,2.9135656447996744e-15,-0.011125487332024009,2.1314772630550612e-14
12312,Trappc4,1.9208167534427112e-17,0.015139729810899671,2.1342065246049158e-16
12313,Trappc5,1.6647176561073195e-16,-0.00011094265621894306,1.529902090606075e-15
12314,Trappc6a,6.333381269163856e-14,0.03126124520480303,3.641430777969335e-13
12315,Trappc6b,5.446765222942137e-15,0.03398016708112084,3.7774806277725145e-14
12316,Trappc8,1.6172017145912652e-06,0.013104259493096411,3.591414219003931e-06
12317,Trappc9,5.564245155696633e-09,0.006389355075013356,1.5666937572222217e-08
12318,Trat1,1.6335094514647107e-23,-0.19825519597872654,4.676559290971611e-22
12319,Trav1,0.09793626788702532,0.001259711774972725,0.1438396657883821
12320,Trav10,0.23262630820869576,0.0009071196022840382,0.3130218878563661
12321,Trav10d,0.024998625784190646,0.04166390250455712,0.039803133923405495
12322,Trav10n,0.2427624831731268,-0.0013468938164347619,0.3239176602393048
12323,Trav11d,0.3161421483255909,,0.4031475942574331
12324,Trav12-1,0.48752119897241625,0.009953210396914068,0.5579167090740799
12325,Trav12-2,0.9797054478287639,0.0016611649721694167,0.9869186707440982
12326,Trav12-3,0.5891375268047478,-0.00891472977666112,0.6513404971600724
12327,Trav12d-1,0.015661056014738602,,0.025481708797612357
12328,Trav12d-2,0.11263283006935348,,0.16356492721355367
12329,Trav12d-3,0.3379095121427079,,0.42409745544688177
12330,Trav12n-1,0.8328519051500374,0.0003203211190485872,0.8669738690302617
12331,Trav12n-2,0.7648598630654314,-0.0020072332843589875,0.808557784113988
12332,Trav12n-3,0.9729155103943082,0.001103487964713162,0.9813645321951492
12333,Trav13-1,0.005514548911877409,0.020977086316410723,0.009361593596164277
12334,Trav13-2,0.08343002131603434,0.003475921243958041,0.12397008757581453
12335,Trav13-3,0.6718493752651864,0.0022672202450415746,0.7282231857681467
12336,Trav13-4-dv7,0.6281945359417017,-0.0065199470909539994,0.6884115461851145
12337,Trav13d-1,0.009185862823970594,-0.0017417440165406212,0.015271469323180364
12338,Trav13d-3,0.8233207978549292,,0.858668985735368
12339,Trav13d-4,0.794390751814992,-0.0023124540276265575,0.8341406804194146
12340,Trav13n-2,0.4193707463670056,0.00032815282227158384,0.4978136771113665
12341,Trav13n-3,0.9636124005120875,,0.9743983173515307
12342,Trav13n-4,0.1177456410869008,0.004933477804878199,0.1702741421953487
12343,Trav14-1,5.873368923838846e-16,-0.07733811171775593,4.8670087089508714e-15
12344,Trav14-2,0.0410845998600913,-0.006037337701472609,0.06381293844995864
12345,Trav14-3,0.3654393056942948,,0.44894694545431896
12346,Trav14d-1,0.8497198142994344,,0.8799600864049437
12347,Trav14d-2,0.012489356209389,0.023800330244060815,0.020521621674533377
12348,Trav14d-3-dv8,0.3679778967078353,-0.01066902262219746,0.4503930349827398
12349,Trav14n-1,0.035754010210092266,-0.008806292769303684,0.05596737589172087
12350,Trav14n-2,0.4870441786947725,0.008834527464672167,0.5574169609935534
12351,Trav14n-3,0.008597961771262133,-0.022202087742884007,0.014325099759207476
12352,Trav15-1-dv6-1,0.0034873152748348835,0.004791220386776741,0.006003913178724812
12353,Trav15-2-dv6-2,0.07580331763915053,,0.11338096054629788
12354,Trav15d-1-dv6d-1,0.9102214065897698,-9.264844233448401e-05,0.9302092629858632
12355,Trav15n-2,0.4863832146419263,,0.5567988067567257
12356,Trav16,0.88051093679295,0.0005647317401413221,0.9051332863566975
12357,Trav16d-dv11,0.6674123560417526,0.002454057910291638,0.7242804667362593
12358,Trav16n,0.23482801114036872,0.028517537736669957,0.31530918690326176
12359,Trav17,0.6495444712020683,-0.0021256618578239708,0.7072635639636826
12360,Trav18,0.3295089961472407,,0.415554137294449
12361,Trav19,0.44765632509048636,-0.006187483355956817,0.5215388125530508
12362,Trav2,0.6435269444217525,0.0008860351509689893,0.7018170605805163
12363,Trav20,0.8998654481992425,1.1568011841234585e-05,0.9220118773172669
12364,Trav21-dv12,0.7538432924872069,0.0005605841814126655,0.7994799346856575
12365,Trav23,0.3099640637795877,,0.3964029690563898
12366,Trav3-1,0.17808731660508767,-0.011348942391132705,0.24749469519223288
12367,Trav3-3,0.027446030441314287,0.06606986231760278,0.043554423967835376
12368,Trav3-4,0.021233957212023296,-0.00727663042412704,0.03409965802074893
12369,Trav3d-3,0.27528802697127813,,0.3594399309273575
12370,Trav4-2,0.9746017417791962,0.00335180264303557,0.9826638114012916
12371,Trav4-3,0.6706765405551852,-0.0006841337794604024,0.7272370866520569
12372,Trav4-4-dv10,0.003613934003358988,0.003788761166432994,0.006214455809209746
12373,Trav4d-2,0.05459007468832945,0.008570274445542399,0.08342111800354778
12374,Trav4d-4,0.7650055464364229,,0.8086499436252857
12375,Trav4n-3,0.6639232052590025,,0.7211588638970478
12376,Trav4n-4,0.19691498841464591,,0.27071404116443565
12377,Trav5-1,0.3952071575014484,-0.01243576910927266,0.4758010994595125
12378,Trav5-4,0.14372134216150279,-0.006683189964030833,0.20414308820843607
12379,Trav5d-4,0.21799217665452303,,0.29586487291033164
12380,Trav5n-4,0.4767138518325238,,0.5479233471568439
12381,Trav6-1,0.10200875441179107,0.002960392127593816,0.14939235044286672
12382,Trav6-2,0.11823091461026186,0.007173705507477979,0.17088651069152352
12383,Trav6-3,0.08112774814830237,0.021856657076724947,0.12078282366499735
12384,Trav6-4,0.040893750270239074,-0.0032054837060544704,0.06352364758768762
12385,Trav6-5,0.11741362451548618,0.016547043139830794,0.16985786510223017
12386,Trav6-6,0.89980063422247,0.0001879646872593073,0.9220118773172669
12387,Trav6-7-dv9,3.2807701428285246e-05,0.03682354298584315,6.612944640492311e-05
12388,Trav6d-4,0.11023010704460832,-0.010225383580530524,0.16042966616516546
12389,Trav6d-5,0.001230448924193327,0.027978343413803605,0.00219646971848123
12390,Trav6d-6,0.16702723326773108,,0.23357450609334066
12391,Trav6d-7,0.27304669261831843,0.0036881000481910203,0.3574056994861052
12392,Trav6n-5,0.20622450107223642,,0.2817192186025353
12393,Trav6n-6,0.9592828502752035,-5.733375472701972e-05,0.9706594111642652
12394,Trav6n-7,0.11213559591287918,,0.1629113103539853
12395,Trav7-1,0.382825858764155,-0.016994897620888884,0.46375276247485975
12396,Trav7-2,0.17094372490152393,0.0011711735691081423,0.2385205093467458
12397,Trav7-3,0.3332776938818587,-0.0021704724983144796,0.41927407707609454
12398,Trav7-4,0.7808339609823869,-0.007808513383421367,0.8221120512415107
12399,Trav7-5,0.9245936759948518,-0.0031527997662961008,0.9412781755616734
12400,Trav7-6,0.5341592746504975,,0.5997692743022652
12401,Trav7d-2,0.0004266095764833149,-0.012277297466838644,0.0007883151826406923
12402,Trav7d-3,0.0002800168106500496,-0.02522193479652557,0.0005257256665043447
12403,Trav7d-4,0.030486136101361277,0.034782828165226515,0.04815347690723297
12404,Trav7n-5,0.2794878225313806,,0.36382375993866484
12405,Trav8-1,0.4376837034591907,,0.5126109099126843
12406,Trav8-2,0.5138440409665429,,0.5831159551920826
12407,Trav8d-1,4.0779018044940315e-05,0.06833701947409618,8.164072818904476e-05
12408,Trav8d-2,0.2652930433115788,0.004551144192429756,0.34970561475639694
12409,Trav8n-2,0.4513479351904065,0.00853327572272889,0.52486380281018
12410,Trav9-1,0.12602863232908584,0.01666598335582569,0.18102127777747318
12411,Trav9-2,0.4547464526861037,0.008313727557986827,0.5278832173534329
12412,Trav9-4,0.20372745507322051,-0.01572891391793537,0.2786385200892592
12413,Trav9d-1,0.31354224573650125,-0.0014857331833370013,0.4002753228567396
12414,Trav9d-2,0.7024439914978629,,0.754814650585669
12415,Trav9d-3,0.36668499110010694,-0.0008091254587164402,0.4499679671870085
12416,Trav9d-4,0.03315867756064167,-5.760261592097776e-05,0.05212319359071866
12417,Trav9n-1,0.16833592846910347,0.003130298866501603,0.2351904582330889
12418,Trav9n-2,0.687289397162671,,0.7423971590795905
12419,Trav9n-3,0.8464444845828307,,0.8773337244298864
12420,Trav9n-4,0.4839245697977891,0.0037747633459045615,0.5544434187454443
12421,Trbc1,0.05349623165380763,0.015410329130259692,0.08181289155996117
12422,Trbc2,0.000686476195102685,-0.08097069577840155,0.0012501283226230978
12423,Trbj1-1,0.9471040973136723,1.1066663651732966e-05,0.9604455490146425
12424,Trbj1-2,0.6086399562875898,,0.669528171572389
12425,Trbj1-3,0.2940861808250864,0.0001735835078496619,0.3797869000620709
12426,Trbj1-4,0.7140056196375598,0.0006283578466168456,0.764800501753747
12427,Trbj1-5,0.7486512426370623,-0.0021409501942605607,0.7953160768372513
12428,Trbj1-6,0.34433558285044236,0.0017722191675961048,0.42978205040263806
12429,Trbj2-1,0.03060340565816518,0.014877503938235125,0.04833184106571745
12430,Trbj2-2,0.3395890482450598,0.0019900358190249445,0.4255991002398724
12431,Trbj2-3,0.507792326097982,0.001583027072049512,0.5774811199050771
12432,Trbj2-4,0.1832282806193346,0.00445978919531658,0.2539947141430592
12433,Trbj2-5,0.06981908118818234,,0.10497545308202505
12434,Trbj2-7,0.3254303779792974,0.003733147896253549,0.41179620690379604
12435,Trbv1,0.9232747214908096,0.0023104989389299904,0.9401431560664484
12436,Trbv10,0.41463540928191944,,0.49388923018740866
12437,Trbv12-1,0.7376537712260725,-0.004610394236817968,0.7855046553071474
12438,Trbv12-2,5.280652556005106e-05,0.022091567753930355,0.00010476414472384466
12439,Trbv13-1,0.07062119912998288,0.014969493703771167,0.10610067547550255
12440,Trbv13-2,2.0526006967109456e-13,0.12894251863232575,1.06979814592529e-12
12441,Trbv13-3,0.3647239873808341,0.002599414088945739,0.4483540430669335
12442,Trbv14,0.3657586828685805,0.003538913816588587,0.4491397045672991
12443,Trbv15,0.7367336316116341,0.0031650747690489048,0.7847166993833034
12444,Trbv16,0.31862688056451405,0.0022850970146115687,0.4056425111138172
12445,Trbv17,0.676074684851075,-0.0006689772844297899,0.732105261394731
12446,Trbv19,5.495939849076266e-16,0.15522252934412606,4.5789560333895204e-15
12447,Trbv2,0.26494283678846486,-0.0010465399955097866,0.34939794772351507
12448,Trbv20,0.5306530107723446,0.001305076113836335,0.5969468474725602
12449,Trbv21,0.11919491241388681,-0.001551696766726664,0.17211785200425653
12450,Trbv22,0.5695609849477233,,0.6328862395648711
12451,Trbv23,0.21112501308441514,0.003103230398972374,0.28761777359085217
12452,Trbv24,7.519464667582052e-05,0.008506979990643482,0.00014778052130715074
12453,Trbv26,0.2761174502000472,-0.004745621949520839,0.3603526953701305
12454,Trbv29,0.94159980819548,0.002323685378218601,0.9560561631439011
12455,Trbv3,0.046353032687788134,0.011950349323500333,0.07142604434900865
