gene,logfoldchange,adj_p_value,cluster_7_percent,other_percent
Tm2d2,-0.27951693534851074,0.39406623800593665,0.09650720079457044,0.1067255704964905
Aamdc,-0.29690831899642944,0.39253463233436153,0.08160900513160073,0.09258005223952791
Mgst3,-0.534168004989624,0.3904322447517808,0.03989405727528555,0.05165908871045758
Txndc16,-0.46713054180145264,0.38182872297465903,0.04204601887104784,0.054034589876710414
Abcg2,-0.7060279250144958,0.38056882754335036,0.023837113060751532,0.03601947695978846
Matk,-0.40744712948799133,0.38026839785789635,0.06008938917397782,0.07138327260219492
Haus4,-0.32281234860420227,0.3800346541494285,0.08773381890415494,0.098190964496469
D10Jhu81e,-0.17020881175994873,0.378796004302882,0.1810958450587651,0.18840626444379951
Sipa1l1,-0.17895890772342682,0.37634032161099584,0.17646085085250787,0.18446142766545204
Gm568,-1.850054383277893,0.3754953052591387,0.005628207250455223,0.017982866294755623
Gnpda2,-0.28035226464271545,0.3722272810842592,0.10494951167025326,0.11486246815646062
Rsbn1l,-0.10422224551439285,0.37197367411512927,0.3181592451580864,0.3170380402652822
Gm19261,-0.47913676500320435,0.37144629332462287,0.03923191524582023,0.051390366859071515
Glb1,-0.30821332335472107,0.3713350610136287,0.07018705512332395,0.08196016467275052
Cracr2a,-0.44250839948654175,0.3678680493386182,0.05346796887932462,0.06518117227220449
Rpl9,-0.006762822158634663,0.3678143838268962,0.9329581195166363,0.927305364763041
E230032D23Rik,-0.8580349087715149,0.36561322389600526,0.01738122827346466,0.02981737662979803
Ndufa2,-0.01960444450378418,0.36502772457504234,0.7015394802185069,0.688067674911053
Zmat1,-0.5073121786117554,0.362582962113208,0.038073166694255915,0.050326228327582684
Cep290,-0.8231765627861023,0.36068630992397743,0.02135408045025658,0.03377296228220094
Sh3bgrl,-0.28193172812461853,0.36053602645388555,0.08260221817579871,0.09409564348134533
Brd9,-0.15780162811279297,0.36053602645388555,0.1981460023174971,0.20574419829522858
Grhpr,-0.3464655578136444,0.360411747002151,0.07647740440324449,0.08771081229241237
Hsd17b11,-0.5668860673904419,0.36029149178731135,0.034265850024830326,0.046553373534122304
Zbtb25,-0.5833597183227539,0.356957004117388,0.029796391325939413,0.04228607053411155
Rabep2,-0.3125779926776886,0.35592070208392895,0.07747061744744248,0.08893618393473283
Pigyl,-0.25914230942726135,0.3556614400586309,0.11885449428902499,0.12852428708092828
Lonp2,-0.09667889773845673,0.3529302882143383,0.32842244661479886,0.32976470714692635
Ifi35,-0.10776159912347794,0.35104724111347774,0.2963085581857308,0.2977760579579289
Fbxw4,-0.5674399137496948,0.35025086050497123,0.03641781162059262,0.04874614384143261
4930522L14Rik,-0.29929298162460327,0.3462841323677374,0.07846383049164046,0.09036578418410672
Mapk1ip1,-0.42150190472602844,0.3458341064948103,0.04668101307730508,0.059108058430879365
Itgb3bp,-0.2900373935699463,0.3456891931382431,0.09882469789769906,0.10940204013629572
Ndufaf3,-0.19823041558265686,0.34498964260763015,0.14831981460023175,0.1574065116679028
