gene,logfoldchange,adj_p_value,T.4N_Nr4a1_percent,other_percent
4930430F08Rik,-0.47939065,0.9973254110940113,0.02632014567124648,0.03290230348371008
Gm29336,-0.97819793,0.9963919370444559,0.007945704353583844,0.014715208581901045
Ctla2a,-1.6641612,0.9931033153899944,0.004469458698890912,0.0112540711360485
Bach1,-0.3039618,0.9931033153899944,0.040887270319483526,0.047370287962335944
Helz2,-0.13069618,0.9898233734011201,0.1205098493626883,0.12610579041845366
Znrd1as,-0.55078614,0.9898233734011201,0.01887104783976163,0.025614566874119934
E030030I06Rik,-0.5949326,0.9898233734011201,0.01853997682502897,0.025281351778401212
Zfp260,-0.1392692,0.9890189285555729,0.14881642112233073,0.15304246880139305
Neb,-1.0460075,0.9888282276253585,0.006786955802019533,0.01361882342824589
Mbd2,-0.28026843,0.9887614689515748,0.06373117033603708,0.06966345275332408
Tet1,-0.3999793,0.9882645881165831,0.028141036252276114,0.03485859856180065
Gdpgp1,-0.22534168,0.987499351236146,0.06505545439496772,0.07126503498758505
Fpgt,-0.315135,0.987499351236146,0.04337030292997848,0.04983178012103232
Tlr12,-1.0835674,0.987499351236146,0.007449097831484853,0.014274504745627895
Oas3,-0.60080415,0.9869370153753466,0.015560337692435026,0.022379155783431685
Mfsd11,-0.34120053,0.9853365872389962,0.03856977321635491,0.045145271032859306
Grb2,-0.21001844,0.9832382582452399,0.08574739281575898,0.09131168510098567
Tm6sf1,-0.5071618,0.981749709907569,0.02085747392815759,0.027678350692764933
Usp24,-0.20684503,0.9812691976839149,0.10544611819235226,0.10998247933528962
Acvr1b,-0.1517604,0.979794273720115,0.12315841748054958,0.12791160125976803
Celsr1,-0.33545077,0.979794273720115,0.029465320311206755,0.036320445433340856
Atg9a,-0.37472072,0.9788485432879107,0.031120675384870053,0.03787903217138005
Mrps35,-0.114989355,0.9787454327392731,0.2312531037907631,0.22883277976631947
Aldh3a2,-0.2677978,0.9766198969132981,0.053136897864591956,0.059548762267152514
Ganc,-0.32262886,0.9758433953338912,0.04188048336368151,0.04848817086410199
Zfp810,-0.49091822,0.9757867058706898,0.022512829001820892,0.029365923919469437
Mocs2,-0.16662617,0.9755610303476222,0.1122330739943718,0.11728096481893521
Pink1,-0.26927438,0.9746012689003793,0.05462671743088893,0.06107510238302538
Cyld,-0.096311934,0.9743988819035411,0.2421784472769409,0.24248384981673168
Gm15675,-1.3012104,0.9722287366962543,0.004800529713623572,0.011770017090709748
Pacs2,-0.3813165,0.9716899138111414,0.029961926833305744,0.03679339589178034
Inafm2,-0.5063238,0.9711756522759716,0.02118854494289025,0.028086807906871757
Ulk2,-0.5162678,0.971010538530878,0.019036583347127958,0.02598002859200499
Abhd6,-0.359065,0.9705345965439619,0.036748882635325275,0.04351144217643202
Bfar,-0.11190578,0.9692591602499958,0.20824366826684323,0.20908709812647125
Dtx4,-1.1547054,0.968087332834179,0.006124813772554213,0.01313512409575097
Tmem143,-0.46225035,0.9676377091373146,0.028803178281741434,0.03557877312351531
Cep19,-0.2286551,0.9675525319915549,0.06687634497599736,0.07317833456945384
Sbds,-0.10264411,0.9667583442262881,0.22810792915080286,0.22816634957488202
Stambp,-0.27832043,0.9641206601331633,0.07449097831484854,0.08014360495738071
Atp6v0e2,-0.68420696,0.9633080026624384,0.016884621751365667,0.023819504906861005
Mia2,-0.17352556,0.9631745442412241,0.09733487833140209,0.10299571119925188
Tex9,-0.4718387,0.963024005867727,0.025989074656513823,0.032870056861543755
Pex26,-0.791018,0.9628339640579355,0.011753021023009435,0.018778282974858385
Snhg20,-0.110375896,0.9615845937911565,0.22628703856977322,0.22585534165296184
Nipsnap2,-0.1335913,0.9595071167291922,0.16487336533686475,0.16829512108606623
Man2c1,-0.20644683,0.9587749970424985,0.08376096672736302,0.08966710737050294
Hist2h3b,-0.6223642,0.955893510301218,0.01853997682502897,0.02555007362978728
B3gnt5,-0.92263556,0.9545359773494325,0.009435523919880815,0.01653176829727086
Ppp1r12a,-0.06083492,0.9539179045797377,0.38933951332560834,0.37865058635107973
Aida,-0.26498634,0.9537305240509354,0.07697401092534349,0.08259434824202165
Rasgrp1,-0.027382592,0.9507749885141391,0.5148154279092866,0.5040147044597079
Acadm,-0.20410766,0.9492778917114655,0.10163880152292666,0.10666107725215784
Tmem175,-0.27356523,0.9490435576356617,0.057109750041383876,0.06363333440822073
Zfp169,-0.32808813,0.9476270518121821,0.03376924350273133,0.04084572141068223
Arhgef11,-0.5232564,0.9470034962337796,0.018374441317662638,0.025528575881676393
Pibf1,-0.2332808,0.9470034962337796,0.06257242178447277,0.06923349779110638
H2-Q6,-0.022881165,0.9467869770696161,0.5027313358715444,0.4864080487568927
Gvin1,-1.371163,0.9451063020448245,0.005628207250455223,0.01281265787408769
Atm,-0.14070809,0.9411525437530156,0.16321801026320146,0.16631732825986478
Selenoo,-0.2799475,0.9411211272809061,0.05760635656348287,0.06417077811099288
Fbln1,-0.9920661,0.9411211272809061,0.009269988412514484,0.016467275052938206
Aga,-0.3041343,0.9407996788857268,0.060917066710809466,0.06720196059462771
Bicral,-0.37406138,0.9400102444766891,0.03492799205429565,0.041931357690281945
