gene,logfoldchange,p_value,adj_p_value
Nutf2,1.3939925,8.27340629154456e-33,1.5668703324418369e-30
Slc29a1,1.7836932,3.7199343442632206e-21,3.6042685174383764e-19
Ak2,0.4359435,5.536417597490229e-05,0.0008966951961105165
Rel,-0.3589388,0.06847956830026193,0.4486165429607568
Dnaja1,-0.239374,9.66965609638821e-05,0.0014757737042344864
Gtpbp4,0.3988921,0.0001571980508380857,0.002298125188831172
Usmg5,0.5639599,1.0767877462702587e-16,7.010056476304739e-15
Tcp1,0.72347873,9.257562124443176e-15,5.283785286505821e-13
Snrpb,0.53266066,2.9782455999406577e-13,1.4555847850032552e-11
Zap70,0.057566218,0.6846798234553426,1.0
Rps17,0.6222121,8.859313846802145e-37,2.0506850634833965e-34
Cct4,0.6901079,1.0515086291494958e-15,6.303756407699819e-14
Atp5d,0.5026862,4.413137445591597e-17,2.9898109214727463e-15
Hspa9,0.99627364,3.3863612420372294e-20,2.986089759777379e-18
Bcl10,-0.724019,2.283311762093596e-10,8.272537788489538e-09
Egr3,-3.37673,2.4103441712243656e-42,6.695132659604213e-40
Ikzf3,1.2834245,7.808955313242916e-17,5.205761970020257e-15
Snu13,0.3871292,9.439819669965113e-06,0.00018145794073776077
Snrpg,0.64325315,4.620282373237792e-26,5.923202002490849e-24
Eif1ax,1.0510732,1.9773477302965836e-19,1.6477238636561432e-17
Psma4,0.6849566,5.217545403708588e-13,2.50592540917024e-11
Hnrnpk,0.25533822,2.0034058796212905e-07,5.126758192551014e-06
Calr,0.5507037,1.2156231270942986e-09,4.134607150235425e-08
Pgk1,1.082653,2.2084359978184276e-30,3.6805794339641914e-28
Chchd10,0.99098206,4.559199933116648e-15,2.6291912140249847e-13
Chchd2,0.6865985,8.416873081184783e-35,1.75344508463782e-32
C1qbp,1.0555804,1.7276730015366188e-16,1.1074383939849727e-14
Cops6,1.0175359,1.9638059030259952e-23,2.1674694821080287e-21
Ssb,0.47876722,3.034391222754652e-08,8.704159056528233e-07
Batf,0.074058466,0.5546123272918493,1.0
U2af1,0.61580825,1.193164780971253e-11,4.958923750540375e-10
Rbm3,0.273348,2.1742769940118048e-07,5.515449068828119e-06
