"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cog5",1276.32594240399,0.0211027955398796,0.141449163275815,0.149189963737931,0.881403739142694,0.96939135677635
"Dirc2",1111.37209669716,0.885581426271963,0.15671170515452,5.65102284732826,1.59495887988782e-08,7.66788564527888e-07
"2210408I21Rik",27.1190621395787,0.164315782232372,0.839987564850384,0.195616922331034,0.844910014070149,0.956202453690319
"Ppp1r2",1200.52341928508,0.0387676251546301,0.155972305029858,0.248554544008366,0.803705373732121,0.93987616025461
"Chchd6",57.480787573824,0.566075112688828,0.602945442090127,0.938849642393037,0.347807947101657,0.684718235553626
"Cds2",7568.81561238074,0.024387483750514,0.0884460805029084,0.275732781055369,0.782753315638586,0.933888426591928
"Gtf2b",1249.70298949329,-0.142490752870551,0.157672710239593,-0.903712206468877,0.366148024878881,0.697770380144559
"Gm340",344.032354163629,-8.50796366118608e-05,0.27279568142594,-0.000311880438015506,0.999751155417725,0.999829931806931
"Mrgbp",347.42573101883,0.0457550915604307,0.240907966713165,0.189927681449027,0.849365800599894,0.957517211909936
"Fam58b",456.895538888558,-0.114963179800226,0.227736101288095,-0.504808763959621,0.613693159724562,0.856096778818646
"Mynn",1203.17813861676,0.0828386286264377,0.16165666841152,0.512435579926468,0.608346195059904,0.852951584675489
"Exosc1",498.167501713709,-0.0381427750971134,0.219828617697714,-0.173511417651561,0.8622494540105,0.962981436878306
"Orc3",1640.38281428718,0.125474834828337,0.134451560114705,0.933234502606666,0.350698904095317,0.687742659267268
"Qser1",743.801884453303,0.269335481054639,0.171933720437555,1.56650760751995,0.117229828996952,0.402238710362075
"Gng10",1565.89970153221,-0.0422144108060656,0.137863387608288,-0.306204653305123,0.759448829643798,0.924331084180964
"1700030C10Rik",21.0900467278544,0.488897126294975,1.15474967575452,0.423379314634167,0.672018534481951,0.883685689692638
"Zcchc24",138.440770778482,-0.532751613521469,0.419207517196118,-1.27085415138735,0.203780539868324,0.536705252543839
"Efcab8",0.517557487021244,1.04351150714268,4.01068849379558,0.260182636661253,0.794722897096387,NA
"Cdh11",9.89821448651268,1.58769560784029,1.50112280817044,1.05767203002888,0.290204991116868,0.633330997082188
"Rab12",413.359962087668,-0.00521102940364036,0.234525959615009,-0.0222194140563144,0.982272931235665,0.996696481239448
"Donson",1383.55574823958,0.0283765641682576,0.136680553080985,0.207612301301151,0.835531698598534,0.953443818298583
"Kxd1",1008.36724031302,-0.00440176081887085,0.15323505820952,-0.0287255466882277,0.977083481461247,0.995786851931427
"Idi1",763.595444594858,-0.0706075964617092,0.190381707839009,-0.370873847404586,0.71073149496462,0.902470812146285
"Rd3",5.13186806417053,0.00213489971119198,2.27915505087751,0.000936706658184585,0.999252616328728,0.999824602079547
"Nmb",138.767663551647,-0.175748851322241,0.3962691619577,-0.443508776847494,0.65739777224715,0.877074457686513
"Nmi",1905.51399892497,0.0656793733710246,0.137919146487981,0.476216501069691,0.633920144879155,0.864851604730328
"Il3ra",56.7848932845846,-0.547509454743264,0.605619352678659,-0.904048809407469,0.365969520582175,0.697534938463578
"Det1",791.312251072721,0.108020566428007,0.170193514963752,0.634692611237353,0.525628913545924,0.806252517707242
"Mdp1",1791.76118925134,0.0582981773539626,0.127369210282166,0.457710126527535,0.647160711731469,0.871773157424167
"Dcaf7",5225.2940764075,-0.0505846302742116,0.0968911280996359,-0.522077008146649,0.601616714036024,0.849678316776395
"Armc2",0.176053681616025,1.06165591870542,4.06990868137412,0.260854972880369,0.794204349330082,NA
"Nudt15",211.537952085127,0.059719946171707,0.312532394621154,0.191084019447323,0.848459767584056,0.957311360527536
"Dach2",3.46440236296655,3.9525533316094,2.83823517318333,1.3926095233244,0.1637379016193,0.481278704805964
"Rbms2",1010.42139568746,0.109547079894566,0.168827809649343,0.648868691254696,0.516423253115106,0.801178820258762
"Srfbp1",603.348797721559,0.228677943286673,0.187894091137474,1.21705766212392,0.223582277655008,0.559043788021545
"Aggf1",1341.69115150744,-0.0695690853056634,0.138527915660927,-0.502202642505262,0.615524984330939,0.856670129512082
"Abcb11",6.90574901338053,-1.62878368887226,1.77084827114207,-0.91977597144549,0.35768984247791,0.691317816146199
"Ilkap",1842.63872940949,0.00556989138638133,0.132359011162884,0.0420816938525394,0.966433573432026,0.992635513820455
"Lpin3",2.7718666027424,1.80852333594783,3.02897013541792,0.597075327617353,0.550457089488811,NA
"Engase",284.563212482292,0.166855917720268,0.264102094342708,0.631785666582977,0.527526940906527,0.806905053032602
"Rbm33",4727.90025276421,-0.101971464368365,0.12626905893005,-0.807572854604507,0.419336518710034,0.736741292285125
"Zmat5",497.045032346774,-0.0885987660339595,0.207544393643494,-0.426890673742547,0.669458958743149,0.88204849002056
"AK007907",1.39257266128797,1.74646615415089,3.94898890475783,0.442256536108954,0.658303578910566,NA
"AK046026",1.124065363569,-1.40374402038436,3.98922980256508,-0.351883468704098,0.72492565738365,NA
"Dbr1",752.650966996347,-0.208591481905474,0.193126445508743,-1.08007725899989,0.280107777639592,0.622287399580203
"Sigirr",1273.23550124474,-0.434405760891446,0.144172932960086,-3.01308818494876,0.00258603759209451,0.0285656998423529
