"gene","module"
"Bub1",1
"Casc5",1
"Depdc1a",1
"Birc5",1
"Ccna2",1
"2810417H13Rik",1
"Aldh1l1",2
"Raph1",2
"Rtkn2",2
"Cep55",2
"Arhgap18",2
"Tnfsf11",2
"Itga9",2
"Mir22hg",2
"Tmem35",2
"Marcks",2
"Sh3rf1",2
"Cit",2
"Zcchc24",2
"Sgol2",2
"Paqr4",2
"2610307P16Rik",2
"Vav2",2
"Swap70",2
"Gata1",2
"Ndrg1",2
"Ggt7",2
"Dlg4",2
"AK195755",2
"Chdh",2
"Ctdspl",2
"Plcl1",2
"Emid1",2
"Emilin1",2
"2310022B05Rik",2
"Rgl1",2
"Smpdl3b",2
"Dscc1",2
"Spin4",2
"C77080",2
"Ankrd55",2
"Alcam",2
"Hipk2",2
"Ndc80",2
"Arvcf",2
"Ggta1",2
"Etv5",2
"Nsmf",2
"Homer3",2
"Trpm1",2
"Ksr2",2
"Ptprn",2
"Itga5",2
"Atcay",2
"Trp53inp2",2
"I730030J21Rik",2
"Slc25a13",2
"Arhgef9",2
"Il17rb",2
"Dnm3",2
"Chl1",2
"Prlr",2
"Gm10505",2
"BC051212",2
"F13a1",2
"BC145836",2
"Clip2",2
"Nav2",2
"AK050351",2
"Ptprf",2
"Rgs10",2
"Stmn1",2
"1110032F04Rik",2
"Kcnf1",2
"Camk2b",2
"Rgs16",2
"Tns1",2
"Rnf144a",2
"Dusp4",2
"Ntn1",2
"Smc4",2
"Ift80",2
"Cd24a",2
"Lta",2
"Myb",2
"Ikzf4",2
"Syne3",2
"Ptms",2
"Lag3",2
"Wnt3",2
"Bcl2a1d",2
"Atp1a2",2
"Slc22a2",2
"Gucy2e",2
"AK144143",2
"Litaf",2
"2810408A11Rik",2
"Lad1",2
"Chchd10",2
"Pou2f2",2
"Bend5",2
"Arap3",2
"Ntn4",2
"D430041D05Rik",2
"Sik1",2
"Arhgap20",2
"2510009E07Rik",2
"Hivep3",2
"Serinc5",2
"Sox4",2
"Id3",2
"Itm2a",2
"Ephb6",2
"Marcksl1",2
"Zfyve28",2
"Klf10",2
"Gprc5b",2
"Mxd1",2
"Nr4a1",2
"Ikzf3",2
"Pdcd1",2
"Tnfrsf9",2
"Tnfrsf4",2
"Cd200",2
"Gpr83",2
"Cecr6",2
"Rasl11b",2
"Plxnd1",2
"Bcl6",2
"Mex3b",2
"Phactr2",2
"Itih5",2
"Nyap1",2
"Phlda1",2
"Sh3bp2",2
"Rasal1",2
"Gramd1b",2
"Pdlim7",2
"Spred1",2
"Pear1",2
"Adora2a",2
"AB346559",2
"Gfod1",2
"Cyp4f18",2
"Pde4a",2
"Kdelc2",2
"Exph5",2
"Begain",2
"Mfsd4",2
"Plxnb1",2
"Irf6",2
"Ephx1",2
"Cd5",2
"Cd6",2
"Id2",2
"Il6st",2
"Gsn",2
"Folr4",2
"Ubash3b",2
"Tox",2
"Nr4a3",2
"Il21",2
"4930431P03Rik",2
"Ckb",2
"Tlr7",2
"Vsig10",2
"Rasgef1a",2
"Gfi1",2
"Ptgfrn",2
"Sptb",2
"Mex3a",2
"Igsf3",2
"Dnmt3a",2
"Tnk2",2
"Neurl3",2
"Klhdc2",2
"Paqr8",2
"Chst15",2
"Spin2c",2
"Qrfp",2
"Mmp15",2
"Trib1",2
"Mfge8",2
"Cenpa",2
"Tubb3",2
"BC035044",2
"Frat2",2
"Erbb3",2
"Kcnh4",2
"Gm15401",2
"Nrgn",2
"Zfp219",2
"Mapk11",2
"Dhrs3",2
"Tbx6",2
"Ypel2",2
"Slc5a3",2
"AK168746",2
"Unc13a",2
"Cdh24",2
"2310015A10Rik",2
"Phyhd1",2
"Gm996",2
"AK088937",2
"Zfp608",2
"AK080292",2
"Stra6",2
"Zfp870",2
"Ttk",2
"Stx11",2
"Pdcd1lg2",2
"Bcat1",2
"Notch3",2
"Adam11",2
"Tnnt2",2
"Airn",2
"Pdzd4",2
"Armcx1",2
"Tiam1",2
"Mapk12",2
"Nhsl1",2
"Sall2",2
"Ptgir",2
"Pik3c2b",2
"Jup",2
"A430093F15Rik",2
"Pla2g4f",2
"Dgkg",2
"Arhgef17",2
"Selp",2
"BC098222",2
"Clec2g",2
"Kifc3",2
"Art2b",2
"Gm4814",2
"A830010M20Rik",2
"Map2",2
"C1ql3",2
"Gm15915",2
"Zcchc12",2
"Slc9b2",2
"Tert",2
"4930417O13Rik",2
"Tnfrsf25",2
"Klc3",2
"Arhgap33",2
"M34214",2
"AK052484",2
"Tmc4",2
"Sv2a",2
"Gm20139",2
"Sptbn2",2
"8430427H17Rik",2
"Armcx6",2
"Znf740",2
"AK041628",2
"Itgb8",2
"4933406C10Rik",2
"AK180077",2
"Col1a1",2
"AB346163",2
"Mgam",2
"Ifi44l",2
"Zfp449",2
"Gm3264",2
