"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Clcn6",405.237895053129,0.00759486096519523,0.168927245781447,0.0449593606410965,0.964139701688141,0.993340451628948
"Snhg9",6.0051542344846,0.984106521739953,1.20665015261033,0.81556905256345,0.414746655576742,0.802998452694361
"Slc16a2",3.80013112607983,1.16361850185334,1.53284960960818,0.759121113095223,0.447780110388733,0.823682724211614
"Zpbp2",22.0801066182271,0.219972475770904,0.608414574118221,0.361550306531877,0.717688105383562,0.932825137760538
"Arid2",3151.92379816935,-0.0401820973755996,0.0835808753000978,-0.480757077876074,0.630689159263047,0.902182794640239
"TCRB",4019.82994586219,-0.0935178189133703,0.0819800836967848,-1.14073827076415,0.253978855446556,0.67524596307562
"Adnp",5144.57294013872,-0.0779980429819919,0.0702609425421645,-1.11011950822015,0.266947531858319,0.689731882901182
"Ccdc77",340.089817819674,0.164020292961524,0.165089259417255,0.993524918219975,0.320454213281316,0.735009177842047
"Slc25a4",2601.43977479154,-0.213308407909783,0.0896691010698025,-2.37883959318086,0.0173672315906364,0.15200353159063
"Faxc",0.81260936460435,-0.706466525955324,3.39095888565052,-0.208338275331167,0.834964847867035,NA
"Pycard",1191.34590313678,0.291944398045714,0.127956281132191,2.28159489680782,0.0225132682889157,0.181545681965981
"Oas2",1079.39321969926,-0.303240516986281,0.34870546329373,-0.869617912268982,0.384509245600743,0.780622679621591
"Kmt2a",12317.8957902562,0.0382166627810501,0.0874704379199641,0.436909471243513,0.662177002888779,0.91434219059887
"Kif23",485.874975089786,0.375062677153705,0.135060508720406,2.77699736738099,0.00548636233496329,0.0647969299543117
"Itgb3",2447.53896822092,0.271122742793692,0.122824700291263,2.20739592403448,0.027286410893825,0.209296115132206
"Bod1",245.236906065294,0.119328547850624,0.213299514197622,0.559441254704716,0.575860612769197,0.881350010970545
"Mro",3.44076915559163,-0.44334022683846,1.38459377016911,-0.320195162213038,0.748820390301337,0.943739921740911
"BC052761",263.980033857079,0.111656017206402,0.309200164479922,0.361112412065526,0.718015414947485,0.933158788862814
"Pfn4",1.99135643837232,2.30019172237489,1.99427949893186,1.15339485945018,0.248748350472295,0.670238106196043
"Klhl23",0.500170933002998,2.44541421975456,3.60053322170835,0.679181129342359,0.497023102519004,NA
"Bcdin3d",187.026180925794,-0.074707497691377,0.220462151635519,-0.338867679268993,0.734709413579667,0.939881871054969
"Apol10b",133.933718866639,-1.10198507055206,0.326274222549494,-3.37748125469793,0.000731529389285883,0.0126212694631883
"Gucd1",2197.65688582948,0.345851261135199,0.101481189010027,3.40803319816272,0.000654329334587927,0.0114994900078644
"Pim1",1997.89951048218,-0.519366979374222,0.0987495548441096,-5.25943615841224,1.44497784503744e-07,6.16026683871445e-06
"Ptges2",279.629575062675,-0.194317270876926,0.174519109110331,-1.11344409140937,0.265517747434271,0.68805761358076
"Myl6",15220.4873745769,0.126803694823169,0.115328107060421,1.09950382482855,0.271548366573488,0.693364111811374
"Cryab",2.51571019828289,1.00828221254337,1.71530971043207,0.587813504704871,0.556657478430501,0.875170508933768
"Sypl",358.21228817009,0.0373025059431458,0.158386933862103,0.235515045550555,0.813809002576712,0.957857620260343
"Acot13",603.483376861214,0.0447833509148885,0.149377236390862,0.299800371173745,0.764329432184753,0.946984996927223
"Padi2",209.785652338977,0.0151543360960455,0.216526831366872,0.0699882596553069,0.94420300416043,0.988455000183141
"Stx11",24.3386507914316,-0.673097544063235,0.537741226792005,-1.25171273937601,0.21067455634626,0.623581850405139
"Adrbk1",12414.3663176241,0.0392841041059949,0.0814931265149424,0.482054202433771,0.629767442375276,0.901772978746675
"Tmem223",466.95470172788,0.133750661856199,0.143223983586563,0.933856596548031,0.350377870392382,0.754265938849541
"Senp8",147.882804125829,0.0582683766319691,0.259339492441193,0.224679920838442,0.822228286112236,0.960484317730638
"Phkg2",1298.6546138732,0.194189057575995,0.103291945288016,1.88000194046616,0.0601078134623136,0.343082711951323
"Irf2bp2",1400.76165677019,0.200861860258279,0.102476892008303,1.96006979058269,0.0499876335992197,0.308276512201254
"Ide",1758.21625428239,0.0244665991689547,0.085360034541223,0.286628271654917,0.774396964667626,0.949406428183154
"2410015M20Rik",1280.66839631741,0.0189041535962832,0.143256963336707,0.131959753689958,0.895016125198912,0.980644429665796
"Rpl4",84355.6552787874,0.0041227390524806,0.0947011481008305,0.0435342034934046,0.965275699916499,0.9939936711011
"Nudt7",57.1703548912672,0.0348174036623512,0.351999421180924,0.0989132412364265,0.921207155479049,0.984846607896062
"Srm",1100.38167504554,0.0482062603592477,0.106627210096975,0.452100925414864,0.651196277043963,0.911001324496457
"Ube2n",2018.36962949226,-0.162476463101513,0.085122120920674,-1.90874547466841,0.0562949337738537,0.33081095809482
"Nsfl1c",1934.21630989734,-0.111543661111796,0.096368159142769,-1.15747423323242,0.247078660646517,0.669000528396716
"Dact3",2.16032811328952,0.644231162542406,1.91714379218319,0.336036955166922,0.736842999006802,0.940059767248172
"Ahcyl1",2481.81963934135,-0.104267792391162,0.0804528071767156,-1.29601186148964,0.194971398386167,0.605437500251783
"AK169777",1698.16423358543,-0.0518900367821097,0.107652090701378,-0.482016061592805,0.629794536458218,0.901772978746675
"Tmub2",887.513088854461,0.21873738357892,0.12657368339976,1.72814267313434,0.0839626485002746,0.415755100254638
"Hdac2",2507.27242289591,-0.137237184316227,0.0842787404784979,-1.62837251170407,0.103445922574133,0.458926254696119
"Hnrnph3",769.936255526287,0.142062038276723,0.134927740358256,1.05287495291572,0.292398306961484,0.71313151357402
"Flt3",2.93306626806636,0.977472099703697,1.45791784176959,0.670457601724155,0.502566125586033,0.854155596160624
"Gpatch1",515.060094244399,-0.160859192156148,0.147868019488971,-1.08785654066426,0.27665844432064,0.697949151500608
"Cstf3",842.817642312688,-0.0440122624996998,0.106976499265595,-0.411419917475789,0.680764651643043,0.922067351613117
"Zfp563",282.313430428591,-0.150949066861252,0.166226141771342,-0.908094630920903,0.363828226906658,0.765481595278996
"Tsc22d2",957.488909022398,-0.0075559820432844,0.11571748806206,-0.0652968031870178,0.94793768760168,0.989062658472957
"Col15a1",19.1232083103837,-1.36346264995411,0.61375189174859,-2.2215208918861,0.0263157012850742,0.204071517026421
"Zfp644",1386.4859237904,-0.12404309474008,0.113503350804579,-1.09285843863453,0.274455958697921,0.695449956743662
"Tsen2",214.260315272011,-0.036861471924796,0.179889357816598,-0.204911910144108,0.837640949715906,0.966264321159164
"Zdhhc14",84.4466738796397,-0.22435423218955,0.291289604947861,-0.770210225077232,0.441175199468192,0.81955332913937
"Appbp2",873.282954628949,-0.223213500806459,0.114391513527742,-1.95131171817501,0.0510199759503838,0.311872137069855
"AK207784",19.6775892278648,-0.72846171657416,0.583379190549873,-1.24869335138186,0.211777253563054,0.624548658458195
"Naip2",162.788523175359,-0.225865793776181,0.235058612420649,-0.960891377049324,0.336606786904799,0.746659163433001
"2700097O09Rik",142.355954967847,-0.180587347610802,0.259355054562804,-0.696293919990181,0.486244780028089,0.845331624947544
"Tmem120b",101.961652536015,-0.0752326752043501,0.264629238263586,-0.284294644454268,0.776184590006024,0.950171873056653
"Akap3",1.15891780353123,-3.66031957348391,2.91039922964688,-1.25766923527121,0.208511402803278,NA
"Epc1",2395.38319038496,-0.0097659406261596,0.0784257036282674,-0.124524743475041,0.900899810388842,0.982563558717959
"Sptan1",12400.4164508743,0.0656705182698637,0.0694141832908031,0.946067722136041,0.34411404575598,0.75123472921853
"Lactb2",433.547267336571,-0.0265641316099557,0.154488223101809,-0.171949233906651,0.863477439907176,0.972691625248381
"Zfp180",1579.23833794005,0.0262980060049235,0.0871248852486209,0.301842647251461,0.762772018409177,0.946984181960993
"Rbm39",11229.4086497168,-0.112989777806865,0.0832026163479064,-1.35800750945627,0.174461301336774,0.579753723526982
"Bricd5",4.14985458714334,-1.65809248135575,1.43967718053094,-1.15171130290769,0.249439726052818,0.670238106196043
"Etv1",3.4448050781057,-0.715539288909125,1.37586288665308,-0.520065840753757,0.603017685860092,0.893239378651308
"AK171953",10.1059528549048,-0.907804338805381,1.08228963797871,-0.838781327058439,0.401592031043644,0.793617617416359
"Fn3krp",185.019670361396,-0.0356810168527344,0.204235339956574,-0.174705400447939,0.861311124098084,0.972131578895233
"Zfp639",1169.02986810322,-0.0959159459963647,0.0960703711547657,-0.998392582889555,0.318089028829764,0.733270162667569
"Tyk2",2301.42179858873,0.207290320836137,0.097568872534344,2.1245538197971,0.0336238607061426,0.237887014503416
"Pkp2",1.38788048167145,2.76020076686022,2.34155961199279,1.17878731454167,0.238482876873054,NA
"Tram1",4991.82849109222,-0.0493795471863183,0.0692857858247538,-0.712693759600493,0.476035278872587,0.841406965348779
"Mdk",19.6919468328385,0.543658293440711,0.631689245785963,0.86064199615157,0.389435248496749,0.78301783723308
"2700094K13Rik",702.331751446478,0.00649750305201502,0.136311563930625,0.0476665578814862,0.961981986737284,0.993033355770385
"Hmga2-ps1",2.44045548404214,-0.667683615642197,1.83963882660801,-0.362942772236057,0.716647634521078,0.93256839436687
"Gpr52",2.46058669282361,1.95721475910639,1.83273110869655,1.06792248454732,0.285555479166079,0.705138492649272
